City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ransang,8.96,117.58,88.18,62,100,4.85,PH,1596430113
lebu,-37.62,-73.65,50.22,95,100,8.99,CL,1596430113
naze,28.37,129.48,89.6,70,20,10.29,JP,1596430113
saint george,37.1,-113.58,95.0,8,1,3.36,US,1596429898
gangavalli,11.5,78.65,83.82,63,100,7.58,IN,1596430114
hithadhoo,-0.6,73.08,83.61,75,100,12.68,MV,1596430114
souillac,-20.52,57.52,69.8,56,75,16.11,MU,1596430114
libertador general san martin,-23.81,-64.79,63.0,77,0,2.51,AR,1596429849
alice springs,-23.7,133.88,78.8,11,0,6.93,AU,1596430036
rikitea,-23.12,-134.97,72.97,81,100,17.07,PF,1596430115
bengkulu,-3.8,102.27,83.64,71,42,6.71,ID,1596430066
quatre cocos,-20.21,57.76,71.01,56,75,16.11,MU,1596430115
bluff,-46.6,168.33,50.77,82,100,2.91,NZ,1596429983
ushuaia,-54.8,-68.3,39.2,60,75,14.99,AR,1596429990
chikwawa,-16.03,34.8,64.17,83,46,5.75,MW,1596430116
vaini,-21.2,-175.2,77.0,83,75,13.87,TO,1596429987
smithers,54.78,-127.17,59.0,93,90,3.36,CA,1596430100
leningradskiy,69.38,178.42,39.54,89,100,8.97,RU,1596430116
byron bay,-28.65,153.62,73.0,60,75,8.05,AU,1596430116
tiznit,29.58,-9.5,75.94,40,0,1.36,MA,1596430117
grand-santi,4.25,-54.38,71.17,96,84,0.89,GF,1596430117
mataura,-46.19,168.86,52.21,88,99,0.78,NZ,1596430117
obanazawa,38.6,140.4,82.4,69,75,3.36,JP,1596430117
zemio,5.03,25.14,69.53,95,100,1.97,CF,1596430117
codrington,-38.27,141.97,49.64,71,85,14.99,AU,1596430118
bredasdorp,-34.53,20.04,48.2,100,0,8.05,ZA,1596430118
pisco,-13.7,-76.22,57.99,87,75,2.24,PE,1596430118
egvekinot,66.32,-179.17,47.98,63,81,1.25,RU,1596430118
punta arenas,-53.15,-70.92,39.2,78,100,16.11,CL,1596430119
umm kaddadah,13.6,26.69,75.02,71,58,17.85,SD,1596430119
khandyga,62.67,135.6,81.16,28,13,4.32,RU,1596430119
avera,33.19,-82.53,80.6,78,1,8.05,US,1596430119
cape town,-33.93,18.42,57.99,100,75,5.82,ZA,1596429944
dwarka,22.24,68.97,87.49,74,6,9.84,IN,1596430120
kingaroy,-26.53,151.83,69.01,34,2,4.7,AU,1596430120
te anau,-45.42,167.72,50.22,85,100,1.28,NZ,1596430120
inhambane,-23.86,35.38,69.8,64,75,5.82,MZ,1596430120
ancud,-41.87,-73.82,52.0,87,90,12.75,CL,1596430120
khani,41.96,42.96,66.2,93,75,3.36,GE,1596430121
porbandar,21.64,69.61,89.6,79,40,6.93,IN,1596429964
kapaa,22.08,-159.32,80.6,74,40,14.99,US,1596429984
singaraja,-8.11,115.09,84.16,54,53,3.53,ID,1596429837
massaguet,12.48,15.44,73.72,91,100,12.17,TD,1596430121
mahebourg,-20.41,57.7,69.8,56,75,16.11,MU,1596430122
labrea,-7.26,-64.8,72.01,55,2,1.59,BR,1596430122
cidreira,-30.18,-50.21,61.09,84,10,2.57,BR,1596430122
saint-augustin,51.23,-58.65,62.67,74,65,6.67,CA,1596430122
albany,42.6,-73.97,78.01,88,4,4.25,US,1596429896
husavik,66.04,-17.34,48.2,93,90,5.82,IS,1596430123
upernavik,72.79,-56.15,43.54,71,73,2.35,GL,1596430123
nikolskoye,59.7,30.79,59.0,87,90,4.47,RU,1596430123
zhigansk,66.77,123.37,68.38,40,83,14.54,RU,1596430123
manggar,-2.88,108.27,83.95,74,90,16.02,ID,1596430123
moulins,46.5,3.33,62.6,67,100,4.7,FR,1596430124
saint-philippe,-21.36,55.77,69.8,60,90,13.87,RE,1596430124
acajutla,13.59,-89.83,77.0,90,100,4.12,SV,1596430124
yellowknife,62.46,-114.35,78.01,73,40,8.05,CA,1596430124
busselton,-33.65,115.33,53.01,73,13,5.01,AU,1596430125
hermanus,-34.42,19.23,57.29,67,2,10.8,ZA,1596430125
barrow,71.29,-156.79,35.6,81,90,11.41,US,1596429901
novooleksiyivka,46.23,34.64,68.81,57,0,7.05,UA,1596430125
san patricio,19.22,-104.7,81.28,84,97,5.64,MX,1596430125
cervo,43.67,-7.41,54.0,1,42,4.99,ES,1596430126
port alfred,-33.59,26.89,69.8,24,0,16.53,ZA,1596430126
jamestown,42.1,-79.24,64.99,93,90,9.17,US,1596430126
nakhon phanom,17.41,104.78,80.6,88,75,8.05,TH,1596430126
tuatapere,-46.13,167.68,51.78,75,94,1.23,NZ,1596430127
caledon east,43.87,-79.87,68.0,82,75,13.87,CA,1596430127
careiro da varzea,-3.2,-59.81,80.6,74,41,2.24,BR,1596430127
troitskoye,52.98,84.68,75.42,53,30,14.14,RU,1596430127
miskolc,48.1,20.78,63.59,65,84,1.59,HU,1596430127
yulara,-25.24,130.99,78.8,6,0,9.17,AU,1596430128
hasaki,35.73,140.83,93.99,74,40,9.17,JP,1596430128
hobart,-42.88,147.33,51.01,43,20,23.04,AU,1596430045
norman wells,65.28,-126.83,73.4,73,75,4.7,CA,1596430128
atuona,-9.8,-139.03,78.69,74,9,17.63,PF,1596430004
santa cruz,-17.8,-63.17,66.2,72,3,6.93,BO,1596429902
